/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data of Cibiicidoides in piston core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951396, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.030 m * MAXIMUM DEPTH, sediment/rock: 26.940 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	23074 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	Cibicidoides spp. δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	Cibicidoides spp. δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
7.410	5.56	29.26	28.86100	30.95900	30.50900	26.14700	30.07400	29.29200	4.18	0.3100
7.470	5.61	29.48	29.04000	31.14700	30.71900	26.49600	30.25300	29.54700	4.20	0.4800
7.620	5.74	30.13	29.57100	31.70500	31.34000	27.35100	30.69900	30.18200	3.96	0.3000
7.680	5.79	30.42	29.80600	31.95200	31.61400	27.65500	30.87800	30.43700	4.13	0.5000
7.740	5.85	30.70	30.04000	32.19800	31.88800	27.95900	31.05700	30.69100	4.04	0.3900
7.860	5.97	31.25	30.50900	32.69100	32.43700	28.56700	31.41400	31.24500	4.00	0.4300
7.920	6.03	31.53	30.74300	32.93700	32.71100	28.89400	31.59300	31.52200	3.87	0.5400
7.950	6.06	31.66	30.86100	33.06100	32.84800	29.07900	31.68200	31.66000	3.93	0.5800
7.980	6.08	31.80	30.97800	33.18400	32.98500	29.26400	31.77100	31.79900	3.97	0.4400
7.980	6.08	31.80	30.97800	33.18400	32.98500	29.26400	31.77100	31.79900	4.10	0.6100
8.010	6.11	31.94	31.09500	33.30700	33.12200	29.45000	31.86100	31.93700	4.09	0.6700
8.040	6.14	32.08	31.21200	33.43000	33.25900	29.63500	31.95000	32.07600	3.83	0.6500
8.070	6.17	32.21	31.33000	33.55400	33.39600	29.82000	32.03900	32.21400	4.03	0.6600
8.070	6.17	32.21	31.33000	33.55400	33.39600	29.82000	32.03900	32.21400	4.11	0.6000
8.100	6.20	32.35	31.44700	33.67700	33.53300	30.00600	32.12900	32.35300	4.28	0.6000
8.130	6.23	32.49	31.56400	33.80000	33.67000	30.19100	32.21800	32.49100	3.99	0.6800
8.160	6.26	32.59	31.68200	33.92300	33.80700	30.37700	32.35900	32.59400	3.73	0.4900
8.190	6.29	32.69	31.79900	34.04700	33.94500	30.56200	32.49900	32.69800	4.04	0.6300
8.250	6.35	32.90	32.03300	34.29300	34.21900	30.93300	32.78100	32.90500	3.83	0.4500
8.490	6.58	33.72	32.97100	35.27900	35.31500	32.41600	33.90700	33.73200	3.85	0.4800
8.520	6.61	33.83	33.08900	35.40200	35.45300	32.60100	33.96900	33.83500	3.92	0.6000
8.550	6.63	33.91	33.20600	35.52500	35.58900	32.78600	34.03000	33.92200	4.01	0.6700
8.610	6.69	34.09	33.44000	35.77200	35.86400	33.08100	34.15400	34.09700	4.02	0.6400
8.670	6.75	34.26	33.67500	36.01800	36.13800	33.33800	34.27700	34.27200	3.88	0.1900
8.730	6.81	34.44	33.90900	36.26500	36.41200	33.59400	34.40000	34.44700	3.92	0.4600
8.760	6.84	34.52	34.02600	36.38800	36.54900	33.72300	34.46200	34.53400	4.04	0.7000
8.790	6.87	34.61	34.14400	36.51100	36.68600	33.85100	34.52300	34.62200	3.96	0.4400
8.820	6.90	34.70	34.26100	36.63400	36.82300	33.97900	34.58500	34.70900	4.02	0.7600
8.880	6.95	34.87	34.49500	36.88100	37.09700	34.23600	34.70800	34.88400	3.99	0.8600
8.910	6.98	34.96	34.61300	37.00400	37.23500	34.36400	34.77000	34.97100	4.02	0.8000
8.940	7.01	35.05	34.73000	37.12700	37.37200	34.49200	34.83200	35.05900	4.12	0.8500
8.970	7.04	35.13	34.84700	37.25000	37.50900	34.62100	34.89300	35.14600	4.00	0.7000
9.000	7.07	35.22	34.96400	37.37400	37.64600	34.74900	34.95500	35.23300	3.92	0.7000
9.030	7.10	35.31	35.08200	37.49700	37.78300	34.87700	35.01700	35.32100	3.97	0.5900
9.330	7.39	36.30	36.27800	38.75400	39.18200	36.16000	35.97200	36.36700	3.93	0.4600
9.390	7.46	36.53	36.54100	39.03100	39.48900	36.41700	36.18000	36.59100	4.00	0.7200
9.420	7.49	36.65	36.67200	39.16900	39.64300	36.54500	36.28400	36.70300	3.81	0.7300
9.450	7.52	36.77	36.80400	39.30700	39.79700	36.67400	36.38800	36.81500	3.89	0.5400
9.480	7.56	36.88	36.93500	39.44500	39.95100	36.80200	36.49200	36.92700	3.90	0.6800
9.510	7.59	36.99	37.06700	39.58400	40.10400	36.93000	36.59600	37.03900	3.94	0.8300
9.540	7.62	37.11	37.19800	39.72200	40.25800	37.05800	36.70000	37.15100	3.89	0.6800
9.630	7.72	37.46	37.59300	40.13600	40.72000	37.44300	37.01200	37.48700	3.94	0.4400
9.690	7.78	37.69	37.85600	40.41300	41.02700	37.70000	37.22000	37.71100	3.68	0.7600
9.720	7.82	37.80	37.98800	40.55100	41.18100	37.82800	37.32400	37.82300	3.77	0.6400
9.750	7.85	37.92	38.11900	40.68900	41.33500	37.95700	37.42800	37.93500	3.76	0.2100
9.930	8.04	38.62	38.90800	41.51900	42.25700	38.72600	38.11900	38.63600	3.49	0.3000
10.020	8.14	38.98	39.30300	41.93400	42.71900	39.11100	38.53200	39.01500	3.63	0.1100
10.140	8.27	39.47	39.82900	42.48600	43.33400	39.62400	39.08200	39.52100	3.81	0.3500
10.380	8.57	40.56	41.01900	43.73800	44.72600	40.65900	40.18200	40.56900	3.97	0.5000
10.410	8.61	40.71	41.18000	43.90700	44.91400	40.78900	40.31900	40.71400	3.99	0.4900
10.470	8.69	41.01	41.50300	44.24600	45.29100	41.04800	40.59400	41.00400	3.94	0.4900
10.500	8.73	41.16	41.66400	44.41500	45.48000	41.17700	40.73200	41.14900	3.88	0.3700
10.530	8.77	41.31	41.82500	44.58500	45.66800	41.30600	40.86900	41.29400	3.85	0.6100
10.740	9.04	42.14	42.95300	45.77000	46.98700	42.23000	41.83200	42.13300	3.73	0.3800
10.800	9.12	42.45	43.27600	46.10900	47.36400	42.51600	42.10700	42.41700	3.96	0.6500
10.830	9.16	42.59	43.43200	46.27300	47.54700	42.65800	42.24400	42.55800	3.98	0.3700
10.920	9.27	43.01	43.87000	46.73400	48.05900	43.08600	42.65700	42.98400	3.87	0.5500
11.040	9.41	43.47	44.45400	47.34800	48.74200	43.65700	43.21800	43.45900	3.85	0.4300
11.160	9.56	43.85	45.03900	47.96300	49.42600	44.22800	43.79000	43.84400	3.76	0.5100
11.340	9.78	44.67	45.91600	48.88400	50.45100	45.08400	44.64700	44.66100	3.99	0.5900
11.370	9.81	44.82	46.06200	49.03700	50.62200	45.22700	44.79000	44.81600	4.01	0.3100
11.430	9.88	45.13	46.35400	49.34400	50.96300	45.51200	45.07600	45.12800	3.78	0.7600
11.490	9.96	45.44	46.64600	49.65200	51.30500	45.79800	45.36200	45.44000	4.07	0.7200
11.500	9.97	45.49	46.69500	49.70300	51.36200	45.84500	45.41000	45.49200	3.91	0.7800
11.530	10.00	45.65	46.83900	49.85400	51.53100	45.98800	45.55200	45.64800	3.74	0.8200
11.560	10.04	45.81	46.98900	50.01200	51.70600	46.13100	45.69500	45.80400	3.72	0.7400
11.590	10.08	45.96	47.13500	50.16500	51.87600	46.27300	45.83800	45.96000	3.78	0.7300
11.620	10.11	46.12	47.28000	50.31800	52.04700	46.41600	45.98100	46.11600	3.69	0.8000
11.650	10.15	46.27	47.42600	50.47100	52.21700	46.55900	46.12400	46.27200	3.66	0.8100
11.680	10.19	46.43	47.57200	50.62400	52.38700	46.70100	46.26700	46.42700	3.68	0.8200
11.710	10.22	46.58	47.71700	50.77700	52.55800	46.84400	46.41000	46.58300	3.60	0.5900
11.740	10.26	46.74	47.86300	50.93100	52.72800	46.98700	46.55300	46.73900	3.70	0.8800
11.770	10.29	46.89	48.00900	51.08400	52.89800	47.12900	46.70900	46.89500	3.67	0.7400
11.800	10.33	47.05	48.15400	51.23700	53.06900	47.27200	46.86500	47.05100	3.50	0.4900
11.830	10.37	47.36	48.30000	51.39000	53.23900	47.41500	47.02100	47.35100	3.58	0.3900
11.860	10.40	47.68	48.45000	51.54700	53.41400	47.57300	47.17700	47.65200	3.53	0.4300
12.100	10.67	50.03	49.53400	52.68700	54.68200	49.07400	48.42600	50.05400	3.97	0.7800
12.160	10.74	50.63	49.80900	52.97600	55.00400	49.33600	48.73800	50.65100	3.74	0.7800
12.190	10.77	50.94	49.95100	53.12500	55.16900	49.46800	48.89400	50.95000	3.91	0.5600
12.220	10.81	51.24	50.08900	53.27000	55.33000	49.59900	49.05000	51.24900	3.88	0.7100
12.250	10.84	51.54	50.22600	53.41400	55.49100	49.73100	49.20600	51.54700	3.66	0.6800
12.280	10.88	51.84	50.36400	53.55900	55.65200	49.86200	49.36200	51.84600	3.87	0.5000
12.310	10.91	52.14	50.50100	53.70400	55.81300	49.99300	49.51800	52.14500	3.81	0.6700
12.340	10.94	52.23	50.64300	53.85300	55.97900	50.12500	49.67400	52.22500	3.84	0.7800
12.370	10.98	52.31	50.78100	53.99700	56.13900	50.25600	49.83000	52.30500	3.92	0.7100
12.400	11.01	52.39	50.91800	54.14200	56.30000	50.38700	49.98600	52.38500	3.87	0.7600
12.430	11.05	52.47	51.05600	54.28600	56.46100	50.51900	50.14200	52.46500	4.00	0.6000
12.490	11.12	52.63	51.33500	54.58000	56.78800	50.78100	50.45500	52.62500	3.01	0.2000
12.550	11.18	52.79	51.61000	54.86900	57.11000	51.04400	50.76700	52.78500	3.82	0.8300
12.580	11.22	52.87	51.74800	55.01400	57.27000	51.17500	50.92300	52.86500	3.88	0.7700
12.610	11.25	52.95	51.88900	55.16300	57.43600	51.30700	51.07900	52.94500	3.72	0.7600
12.640	11.29	53.03	52.02700	55.30700	57.59700	51.43800	51.23500	53.02500	3.87	0.5700
12.670	11.32	53.11	52.16500	55.45200	57.75800	51.56900	51.39100	53.10500	3.56	0.7000
12.760	11.42	53.35	52.58100	55.89000	58.24500	51.96400	51.85900	53.34500	3.72	0.8000
12.820	11.49	53.51	52.85700	56.17900	58.56700	52.22600	52.17100	53.50500	3.83	0.8300
12.910	11.59	53.75	53.27300	56.61700	59.05400	52.62000	52.63900	53.74500	3.81	0.5700
