/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): XRF Ca/Ti and Zr/Sr ratios for sediment core MD01-2444. PANGAEA, https://doi.org/10.1594/PANGAEA.951398, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	LATITUDE: 37.565000 * LONGITUDE: -10.134000
	MINIMUM DEPTH, sediment/rock: 0.180 m * MAXIMUM DEPTH, sediment/rock: 26.907 m
Event(s):	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Calcium/Titanium ratio (Ca/Ti) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
	Zirconium/Strontium ratio (Zr/Sr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	31782 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	Ca/Ti (X-ray fluorescence Avaatech c...)	Zr/Sr (X-ray fluorescence Avaatech c...)
0.325	0.16	1.05	0.93586	0.93586	1.11830	1.62350	1.73100	1.74970	23.831	0.22371
0.328	0.16	1.07	0.95105	0.95105	1.13650	1.63600	1.74430	1.76310	24.151	0.22611
0.330	0.17	1.09	0.96630	0.96630	1.15470	1.64850	1.75770	1.77660	23.364	0.24212
0.333	0.17	1.10	0.98149	0.98149	1.17290	1.66100	1.77100	1.79000	21.638	0.22192
0.335	0.17	1.12	0.99674	0.99674	1.19110	1.67350	1.78430	1.80350	22.672	0.22658
0.338	0.17	1.14	1.01200	1.01200	1.20930	1.68600	1.79760	1.81700	23.058	0.25064
0.340	0.18	1.15	1.02720	1.02720	1.22750	1.69850	1.81090	1.83040	21.976	0.23631
0.343	0.18	1.17	1.04240	1.04240	1.24570	1.71100	1.82420	1.84390	21.824	0.23786
0.347	0.18	1.21	1.07290	1.07290	1.28210	1.73590	1.85090	1.87080	21.484	0.23134
0.365	0.20	1.33	1.17940	1.17940	1.40940	1.82330	1.94410	1.96500	22.015	0.22410
0.367	0.21	1.34	1.19460	1.19460	1.42760	1.83580	1.95740	1.97850	23.585	0.22715
0.370	0.21	1.36	1.20990	1.20990	1.44580	1.84830	1.97070	1.99190	23.498	0.23711
0.372	0.21	1.38	1.22510	1.22510	1.46400	1.86080	1.98400	2.00540	23.526	0.23312
0.375	0.21	1.39	1.24030	1.24030	1.48220	1.87330	1.99730	2.01880	24.773	0.23233
0.378	0.22	1.41	1.25560	1.25560	1.50040	1.88580	2.01060	2.03230	25.395	0.23623
0.380	0.22	1.43	1.27080	1.27080	1.51850	1.89830	2.02400	2.04580	24.642	0.22952
0.383	0.22	1.45	1.28600	1.28600	1.53680	1.91080	2.03730	2.05920	23.251	0.22851
0.385	0.22	1.46	1.30120	1.30120	1.55490	1.92330	2.05060	2.07270	23.041	0.22365
0.388	0.23	1.48	1.31650	1.31650	1.57310	1.93570	2.06390	2.08610	24.862	0.22553
0.390	0.23	1.50	1.33170	1.33170	1.59140	1.94820	2.07720	2.09960	26.291	0.23265
0.393	0.23	1.51	1.34690	1.34690	1.60950	1.96070	2.09050	2.11310	25.253	0.24022
0.395	0.23	1.53	1.36210	1.36210	1.62770	1.97320	2.10390	2.12650	25.521	0.21971
0.398	0.24	1.55	1.37730	1.37730	1.64590	1.98570	2.11720	2.14000	25.978	0.23194
0.400	0.24	1.56	1.39260	1.39260	1.66410	1.99820	2.13050	2.15340	25.337	0.22077
0.403	0.24	1.58	1.40780	1.40780	1.68230	2.01070	2.14380	2.16690	25.705	0.22484
0.405	0.24	1.60	1.42300	1.42300	1.70050	2.02320	2.15710	2.18030	25.490	0.22221
0.407	0.25	1.62	1.43830	1.43830	1.71870	2.03570	2.17040	2.19380	25.806	0.21922
0.410	0.25	1.63	1.45350	1.45350	1.73690	2.04810	2.18380	2.20730	26.231	0.22979
0.412	0.25	1.65	1.46870	1.46870	1.75510	2.06060	2.19710	2.22070	25.931	0.22665
0.415	0.25	1.67	1.48390	1.48390	1.77320	2.07310	2.21040	2.23420	26.312	0.22308
0.417	0.26	1.68	1.49920	1.49920	1.79150	2.08560	2.22370	2.24760	25.980	0.21977
0.420	0.26	1.70	1.51440	1.51440	1.80970	2.09810	2.23700	2.26110	26.665	0.22629
0.422	0.26	1.72	1.52960	1.52960	1.82780	2.11060	2.25030	2.27460	26.720	0.23127
0.425	0.27	1.74	1.54480	1.54480	1.84610	2.12310	2.26360	2.28800	26.974	0.23394
0.427	0.27	1.75	1.56000	1.56000	1.86420	2.13560	2.27700	2.30150	27.502	0.21736
0.430	0.27	1.77	1.57530	1.57530	1.88240	2.14810	2.29030	2.31490	26.488	0.21401
0.432	0.27	1.79	1.59050	1.59050	1.90060	2.16050	2.30360	2.32840	25.916	0.22518
0.435	0.28	1.80	1.60570	1.60570	1.91880	2.17300	2.31690	2.34190	25.168	0.22116
0.438	0.28	1.82	1.62100	1.62100	1.93700	2.18550	2.33020	2.35530	25.971	0.22167
0.440	0.28	1.84	1.63620	1.63620	1.95520	2.19800	2.34350	2.36880	26.721	0.21531
0.443	0.28	1.86	1.65140	1.65140	1.97340	2.21050	2.35690	2.38220	27.287	0.21807
0.445	0.29	1.87	1.66660	1.66660	1.99160	2.22300	2.37020	2.39570	26.626	0.21074
0.448	0.29	1.89	1.68190	1.68190	2.00980	2.23550	2.38350	2.40910	26.845	0.21141
0.450	0.29	1.91	1.69710	1.69710	2.02790	2.24800	2.39680	2.42260	26.002	0.20835
0.453	0.29	1.92	1.71230	1.71230	2.04620	2.26050	2.41010	2.43610	26.660	0.22151
0.455	0.30	1.94	1.72750	1.72750	2.06440	2.27290	2.42340	2.44950	27.057	0.22045
0.458	0.30	1.96	1.74270	1.74270	2.08250	2.28540	2.43670	2.46300	27.013	0.22895
0.460	0.30	1.98	1.75800	1.75800	2.10080	2.29790	2.45010	2.47640	27.585	0.20780
0.463	0.30	1.99	1.77320	1.77320	2.11890	2.31040	2.46340	2.48990	26.824	0.21166
0.465	0.31	2.01	1.78840	1.78840	2.13710	2.32290	2.47670	2.50340	28.251	0.20882
0.468	0.31	2.03	1.80360	1.80360	2.15530	2.33540	2.49000	2.51680	27.129	0.21325
0.470	0.31	2.04	1.81890	1.81890	2.17350	2.34790	2.50330	2.53030	27.095	0.21230
0.472	0.32	2.06	1.83410	1.83410	2.19170	2.36040	2.51660	2.54370	26.876	0.20404
0.475	0.32	2.08	1.84930	1.84930	2.20990	2.37290	2.53000	2.55720	27.180	0.21591
0.477	0.32	2.10	1.86460	1.86460	2.22810	2.38530	2.54330	2.57070	26.092	0.21400
0.480	0.32	2.11	1.87980	1.87980	2.24630	2.39780	2.55660	2.58410	26.784	0.20964
0.482	0.33	2.13	1.89500	1.89500	2.26450	2.41030	2.56990	2.59760	26.408	0.22739
0.485	0.33	2.15	1.91020	1.91020	2.28260	2.42280	2.58320	2.61100	26.326	0.21178
0.487	0.33	2.16	1.92540	1.92540	2.30090	2.43530	2.59650	2.62450	26.700	0.22868
0.490	0.33	2.18	1.94070	1.94070	2.31910	2.44780	2.60980	2.63790	25.659	0.21955
0.492	0.34	2.20	1.95590	1.95590	2.33720	2.46030	2.62320	2.65140	25.599	0.22924
0.495	0.34	2.21	1.97110	1.97110	2.35550	2.47280	2.63650	2.66490	25.910	0.22574
0.497	0.34	2.23	1.98630	1.98630	2.37360	2.48520	2.64980	2.67830	25.485	0.22259
0.500	0.34	2.25	2.00160	2.00160	2.39180	2.49770	2.66310	2.69180	26.366	0.22839
0.502	0.35	2.27	2.01680	2.01680	2.41000	2.51020	2.67640	2.70520	27.071	0.22083
0.505	0.35	2.28	2.03200	2.03200	2.42820	2.52270	2.68970	2.71870	27.466	0.20462
0.507	0.35	2.30	2.04730	2.04730	2.44640	2.53520	2.70310	2.73220	27.355	0.21472
0.510	0.35	2.32	2.06250	2.06250	2.46460	2.54770	2.71640	2.74560	27.148	0.21914
0.512	0.36	2.33	2.07770	2.07770	2.48280	2.56020	2.72970	2.75910	25.364	0.21537
0.515	0.36	2.35	2.09290	2.09290	2.50100	2.57270	2.74300	2.77250	25.158	0.20428
0.517	0.36	2.37	2.10810	2.10810	2.51920	2.58520	2.75630	2.78600	28.071	0.20509
0.520	0.36	2.39	2.12330	2.12330	2.53730	2.59760	2.76960	2.79950	27.546	0.21016
0.522	0.37	2.40	2.13860	2.13860	2.55560	2.61010	2.78300	2.81290	27.563	0.19029
0.525	0.37	2.42	2.15380	2.15380	2.57380	2.62260	2.79630	2.82640	27.423	0.19335
0.527	0.37	2.44	2.16900	2.16900	2.59190	2.63510	2.80960	2.83980	29.078	0.20095
0.530	0.38	2.45	2.18430	2.18430	2.61020	2.64760	2.82290	2.85330	27.875	0.20284
0.532	0.38	2.47	2.19950	2.19950	2.62830	2.66010	2.83620	2.86680	28.457	0.19751
0.535	0.38	2.48	2.21470	2.21470	2.64650	2.67260	2.84950	2.88020	27.647	0.20097
0.537	0.38	2.50	2.23000	2.23000	2.66480	2.68510	2.86280	2.89370	27.445	0.20275
0.540	0.39	2.51	2.24520	2.24520	2.68290	2.69760	2.87620	2.90710	28.081	0.19737
0.542	0.39	2.53	2.26040	2.26040	2.70110	2.71000	2.88950	2.92060	27.523	0.21843
0.545	0.39	2.55	2.27560	2.27560	2.71930	2.72250	2.90280	2.93400	26.904	0.20259
0.547	0.39	2.56	2.29080	2.29080	2.73750	2.73500	2.91610	2.94750	26.818	0.20574
0.550	0.40	2.58	2.30600	2.30600	2.75570	2.74750	2.92940	2.96100	27.445	0.21065
0.552	0.40	2.59	2.32130	2.32130	2.77390	2.76000	2.94270	2.97440	28.271	0.22025
0.555	0.40	2.61	2.33650	2.33650	2.79210	2.77250	2.95610	2.98790	28.237	0.21165
0.557	0.40	2.62	2.35170	2.35170	2.81030	2.78500	2.96940	3.00130	28.304	0.21902
0.560	0.41	2.64	2.36700	2.36700	2.82850	2.79750	2.98270	3.01480	28.682	0.21275
0.562	0.41	2.66	2.38220	2.38220	2.84660	2.81000	2.99600	3.02830	28.477	0.21552
0.565	0.41	2.67	2.39740	2.39740	2.86490	2.82240	3.00930	3.04170	28.395	0.21663
0.568	0.41	2.69	2.41260	2.41260	2.88300	2.83490	3.02260	3.05520	27.434	0.21429
0.570	0.42	2.70	2.42790	2.42790	2.90120	2.84740	3.03590	3.06860	26.752	0.20637
0.573	0.42	2.72	2.44310	2.44310	2.91950	2.85990	3.04930	3.08210	27.569	0.21298
0.575	0.42	2.73	2.45830	2.45830	2.93760	2.87240	3.06260	3.09560	26.635	0.21247
0.578	0.42	2.75	2.47350	2.47350	2.95580	2.88490	3.07590	3.10900	28.206	0.21577
0.580	0.43	2.77	2.48870	2.48870	2.97400	2.89740	3.08920	3.12250	26.403	0.21687
0.583	0.43	2.78	2.50400	2.50400	2.99220	2.90990	3.10250	3.13590	28.083	0.20684
0.585	0.43	2.80	2.51920	2.51920	3.01040	2.92240	3.11580	3.14940	27.254	0.21919
0.588	0.44	2.81	2.53440	2.53440	3.02860	2.93480	3.12920	3.16280	27.137	0.19460
0.590	0.44	2.83	2.54970	2.54970	3.04680	2.94730	3.14250	3.17630	28.085	0.21297
0.593	0.44	2.84	2.56490	2.56490	3.06500	2.95980	3.15580	3.18980	26.284	0.20838
0.595	0.44	2.86	2.58010	2.58010	3.08320	2.97230	3.16910	3.20320	26.778	0.21145
0.598	0.45	2.88	2.59530	2.59530	3.10130	2.98480	3.18240	3.21670	28.351	0.20787
0.600	0.45	2.89	2.61060	2.61060	3.11960	2.99730	3.19570	3.23010	28.213	0.21735
0.603	0.45	2.91	2.62580	2.62580	3.13770	3.00980	3.20900	3.24360	28.191	0.21802
0.605	0.45	2.92	2.64100	2.64100	3.15590	3.02230	3.22240	3.25710	27.533	0.20680
0.608	0.46	2.94	2.65630	2.65630	3.17420	3.03480	3.23570	3.27050	28.136	0.20005
0.610	0.46	2.95	2.67140	2.67140	3.19230	3.04720	3.24900	3.28400	27.481	0.19972
0.613	0.46	2.97	2.68670	2.68670	3.21050	3.05970	3.26230	3.29740	27.824	0.20107
0.615	0.46	2.99	2.70190	2.70190	3.22870	3.07220	3.27560	3.31090	27.719	0.20937
0.618	0.47	3.00	2.71710	2.71710	3.24690	3.08470	3.28890	3.32440	27.943	0.20891
0.620	0.47	3.02	2.73230	2.73230	3.26510	3.09720	3.30230	3.33780	28.478	0.22348
0.623	0.47	3.03	2.74760	2.74760	3.28330	3.10970	3.31560	3.35130	26.414	0.20759
0.625	0.47	3.05	2.76280	2.76280	3.30150	3.12220	3.32890	3.36470	28.575	0.20432
0.627	0.48	3.06	2.77800	2.77800	3.31970	3.13470	3.34220	3.37820	27.998	0.20562
0.630	0.48	3.08	2.79330	2.79330	3.33790	3.14710	3.35550	3.39160	29.020	0.20976
0.632	0.48	3.10	2.80850	2.80850	3.35600	3.15960	3.36880	3.40510	28.754	0.21361
0.635	0.49	3.11	2.82370	2.82370	3.37430	3.17210	3.38220	3.41860	28.242	0.21235
0.637	0.49	3.13	2.83890	2.83890	3.39240	3.18460	3.39550	3.43200	28.818	0.21171
0.640	0.49	3.14	2.85410	2.85410	3.41060	3.19710	3.40880	3.44550	28.707	0.20430
0.642	0.49	3.16	2.86940	2.86940	3.42890	3.20960	3.42210	3.45890	27.643	0.22901
0.645	0.50	3.17	2.88460	2.88460	3.44700	3.22210	3.43540	3.47240	27.204	0.20935
0.647	0.50	3.19	2.89980	2.89980	3.46520	3.23460	3.44870	3.48590	27.247	0.20556
