/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): XRF Ca/Ti and Zr/Sr ratios for the spliced stratigraphic section at IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951383, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.571402 * MEDIAN LONGITUDE: -10.126045 * SOUTH-BOUND LATITUDE: 37.571307 * WEST-BOUND LONGITUDE: -10.126180 * NORTH-BOUND LATITUDE: 37.571490 * EAST-BOUND LONGITUDE: -10.125932
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM ELEVATION: -2589.0 m * MAXIMUM ELEVATION: -2584.0 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	339-U1385A * LATITUDE: 37.571490 * LONGITUDE: -10.126180 * ELEVATION: -2587.0 m * Recovery: 155.87 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 151.5 m cored; 103 % recovered; 151.5 m penetrated
	339-U1385B * LATITUDE: 37.571487 * LONGITUDE: -10.125935 * ELEVATION: -2587.0 m * Recovery: 150.73 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 16 cores; 146.3 m cored; 103 % recovered; 146.3 m penetrated
	339-U1385D * LATITUDE: 37.571307 * LONGITUDE: -10.125932 * ELEVATION: -2584.0 m * Recovery: 153.95 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 16 cores; 146.4 m cored; 105 % recovered; 146.4 m penetrated
	339-U1385E * LATITUDE: 37.571308 * LONGITUDE: -10.126153 * ELEVATION: -2589.0 m * Recovery: 151.32 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: 17 cores; 148.7 m cored; 102 % recovered; 148.7 m penetrated
Parameter(s):	Event label (Event) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	Calcium/Titanium ratio (Ca/Ti) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
	Zirconium/Strontium ratio (Zr/Sr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: X-ray fluorescence Avaatech core scanner (XRF)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	68035 data points
*/
Event	Sample label (DSDP/ODP/IODP sample designation)	Depth corr cr [crmcd]	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Ca/Ti (X-ray fluorescence Avaatech c...)	Zr/Sr (X-ray fluorescence Avaatech c...)
339-U1385D	339-U1385D-1H-1,590	0.5900	3.74230	3.43400	3.43400	4.10	27.9750	0.191400
339-U1385D	339-U1385D-1H-1,600	0.6000	3.80240	3.49220	3.49220	4.17	27.2610	0.201060
339-U1385D	339-U1385D-1H-1,610	0.6100	3.86260	3.55040	3.55040	4.24	27.0350	0.209080
339-U1385D	339-U1385D-1H-1,620	0.6200	3.92270	3.60860	3.60860	4.31	27.3750	0.219550
339-U1385D	339-U1385D-1H-1,630	0.6300	3.98280	3.66680	3.66680	4.38	26.1890	0.205630
339-U1385D	339-U1385D-1H-1,640	0.6400	4.04290	3.72500	3.72500	4.45	26.4490	0.219540
339-U1385D	339-U1385D-1H-1,650	0.6500	4.10300	3.78330	3.78330	4.52	29.2950	0.193440
339-U1385D	339-U1385D-1H-1,660	0.6600	4.16310	3.84150	3.84150	4.59	30.3450	0.200280
339-U1385D	339-U1385D-1H-1,670	0.6700	4.22320	3.89970	3.89970	4.66	27.0620	0.223830
339-U1385D	339-U1385D-1H-1,680	0.6800	4.28330	3.95790	3.95790	4.73	27.2620	0.216510
339-U1385D	339-U1385D-1H-1,690	0.6900	4.34340	4.01610	4.01610	4.80	28.1670	0.230500
339-U1385D	339-U1385D-1H-1,700	0.7000	4.40350	4.07430	4.07430	4.87	27.3000	0.232090
339-U1385D	339-U1385D-1H-1,710	0.7100	4.46360	4.13250	4.13250	4.94	28.0160	0.206200
339-U1385D	339-U1385D-1H-1,720	0.7200	4.52370	4.19070	4.19070	5.01	27.9800	0.208290
339-U1385D	339-U1385D-1H-1,730	0.7300	4.58380	4.24890	4.24890	5.08	26.9230	0.187900
339-U1385D	339-U1385D-1H-1,735	0.7350	4.61390	4.27800	4.27800	5.11	27.2200	0.207770
339-U1385D	339-U1385D-1H-1,780	0.7800	4.88440	4.53990	4.53990	5.43	26.4840	0.209030
339-U1385D	339-U1385D-1H-1,790	0.7900	4.94450	4.59810	4.59810	5.49	27.4100	0.211810
339-U1385D	339-U1385D-1H-1,800	0.8000	5.00460	4.65630	4.65630	5.56	26.9530	0.219800
339-U1385D	339-U1385D-1H-1,810	0.8100	5.06470	4.71450	4.71450	5.63	29.5840	0.209230
339-U1385D	339-U1385D-1H-1,820	0.8200	5.12480	4.77270	4.77270	5.70	29.6470	0.186690
339-U1385D	339-U1385D-1H-1,830	0.8300	5.18490	4.83090	4.83090	5.77	31.2130	0.174460
339-U1385D	339-U1385D-1H-1,840	0.8400	5.24500	4.88910	4.88910	5.84	31.1410	0.193210
339-U1385D	339-U1385D-1H-1,850	0.8500	5.30510	4.94730	4.94730	5.91	27.8170	0.200650
339-U1385D	339-U1385D-1H-1,860	0.8600	5.36520	5.00550	5.00550	5.98	27.6690	0.177320
339-U1385D	339-U1385D-1H-1,870	0.8700	5.42530	5.06370	5.06370	6.05	28.7290	0.205650
339-U1385D	339-U1385D-1H-1,880	0.8800	5.48540	5.12190	5.12190	6.12	28.2460	0.223650
339-U1385D	339-U1385D-1H-1,890	0.8900	5.54550	5.18010	5.18010	6.19	28.2860	0.199130
339-U1385D	339-U1385D-1H-1,900	0.9000	5.60560	5.23830	5.23830	6.26	27.2800	0.205160
339-U1385D	339-U1385D-1H-1,910	0.9100	5.66570	5.29660	5.29660	6.33	27.1210	0.231840
339-U1385D	339-U1385D-1H-1,920	0.9200	5.72590	5.35480	5.35480	6.40	26.9020	0.206720
339-U1385D	339-U1385D-1H-1,930	0.9300	5.78600	5.41300	5.41300	6.47	27.5660	0.200180
339-U1385D	339-U1385D-1H-1,940	0.9400	5.84610	5.47120	5.47120	6.54	27.2330	0.220730
339-U1385D	339-U1385D-1H-1,950	0.9500	5.90620	5.52940	5.52940	6.61	26.2470	0.232800
339-U1385D	339-U1385D-1H-1,960	0.9600	5.96630	5.58760	5.58760	6.68	26.5910	0.222980
339-U1385D	339-U1385D-1H-1,970	0.9700	6.02640	5.64580	5.64580	6.75	27.5570	0.209510
339-U1385D	339-U1385D-1H-1,980	0.9800	6.08650	5.70400	5.70400	6.82	27.7270	0.199730
339-U1385D	339-U1385D-1H-1,990	0.9900	6.14660	5.76220	5.76220	6.89	27.6040	0.208740
339-U1385D	339-U1385D-1H-1,1000	1.0000	6.20670	5.82040	5.82040	6.96	29.3440	0.192850
339-U1385D	339-U1385D-1H-1,1010	1.0100	6.26680	5.87860	5.87860	7.02	27.0780	0.200180
339-U1385D	339-U1385D-1H-1,1020	1.0200	6.32690	5.93680	5.93680	7.09	27.0240	0.198690
339-U1385D	339-U1385D-1H-1,1030	1.0300	6.38700	5.99500	5.99500	7.16	26.9090	0.209520
339-U1385D	339-U1385D-1H-1,1040	1.0400	6.44710	6.05320	6.05320	7.23	25.9470	0.214570
339-U1385D	339-U1385D-1H-1,1050	1.0500	6.50720	6.11140	6.11140	7.30	27.2840	0.203240
339-U1385D	339-U1385D-1H-1,1060	1.0600	6.56730	6.16960	6.16960	7.37	26.5750	0.207730
339-U1385D	339-U1385D-1H-1,1070	1.0700	6.62740	6.22780	6.22780	7.44	26.6720	0.192270
339-U1385D	339-U1385D-1H-1,1080	1.0800	6.68760	6.28600	6.28600	7.51	27.1070	0.200350
339-U1385D	339-U1385D-1H-1,1090	1.0900	6.74770	6.34420	6.34420	7.58	28.8470	0.198470
339-U1385D	339-U1385D-1H-1,1100	1.1000	6.80780	6.40240	6.40240	7.65	27.9680	0.195140
339-U1385D	339-U1385D-1H-1,1110	1.1100	6.86790	6.46060	6.46060	7.72	30.1260	0.190130
339-U1385D	339-U1385D-1H-1,1120	1.1200	6.92800	6.51880	6.51880	7.79	31.6650	0.172290
339-U1385D	339-U1385D-1H-1,1130	1.1300	6.98810	6.57700	6.57700	7.86	31.4800	0.180710
339-U1385D	339-U1385D-1H-1,1140	1.1400	7.04820	6.63520	6.63520	7.93	31.5050	0.198180
339-U1385D	339-U1385D-1H-1,1150	1.1500	7.10830	6.69340	6.69340	8.00	32.1600	0.184620
339-U1385D	339-U1385D-1H-1,1160	1.1600	7.16840	6.75170	6.75170	8.07	33.2960	0.163600
339-U1385D	339-U1385D-1H-1,1170	1.1700	7.22850	6.80990	6.80990	8.14	34.8140	0.169070
339-U1385D	339-U1385D-1H-1,1180	1.1800	7.28860	6.86810	6.86810	8.21	33.1160	0.185250
339-U1385D	339-U1385D-1H-1,1190	1.1900	7.34870	6.92630	6.92630	8.28	35.8830	0.187960
339-U1385D	339-U1385D-1H-1,1200	1.2000	7.40880	6.98450	6.98450	8.35	37.2290	0.163810
339-U1385D	339-U1385D-1H-1,1210	1.2100	7.46890	7.04270	7.04270	8.42	36.9440	0.165980
339-U1385D	339-U1385D-1H-1,1220	1.2200	7.52900	7.10090	7.10090	8.49	37.1150	0.182750
339-U1385D	339-U1385D-1H-1,1230	1.2300	7.58910	7.15910	7.15910	8.55	36.5580	0.182900
339-U1385D	339-U1385D-1H-1,1240	1.2400	7.64930	7.21730	7.21730	8.62	37.9800	0.179070
339-U1385D	339-U1385D-1H-1,1250	1.2500	7.70940	7.27550	7.27550	8.69	40.1200	0.166710
339-U1385D	339-U1385D-1H-1,1260	1.2600	7.76950	7.33370	7.33370	8.76	40.5610	0.171510
339-U1385D	339-U1385D-1H-1,1270	1.2700	7.82960	7.39190	7.39190	8.83	39.1770	0.168540
339-U1385D	339-U1385D-1H-1,1280	1.2800	7.88970	7.45010	7.45010	8.90	38.8920	0.153250
339-U1385D	339-U1385D-1H-1,1290	1.2900	7.94980	7.50830	7.50830	8.97	37.2940	0.171330
339-U1385D	339-U1385D-1H-1,1300	1.3000	8.00990	7.56650	7.56650	9.04	37.1480	0.168730
339-U1385D	339-U1385D-1H-1,1310	1.3100	8.07000	7.62470	7.62470	9.11	42.0920	0.154480
339-U1385D	339-U1385D-1H-1,1320	1.3200	8.24890	7.68290	7.68290	9.18	40.5580	0.163670
339-U1385D	339-U1385D-1H-1,1330	1.3300	8.42790	7.74110	7.74110	9.25	38.1480	0.158510
339-U1385D	339-U1385D-1H-1,1340	1.3400	8.60680	7.79930	7.79930	9.32	39.3600	0.159540
339-U1385D	339-U1385D-1H-1,1350	1.3500	8.78580	7.85750	7.85750	9.37	38.7050	0.161040
339-U1385D	339-U1385D-1H-1,1360	1.3600	8.96470	7.91570	7.91570	9.42	39.0190	0.148000
339-U1385D	339-U1385D-1H-1,1370	1.3700	9.14370	7.97390	7.97390	9.47	39.0220	0.167590
339-U1385D	339-U1385D-1H-1,1380	1.3800	9.32260	8.03210	8.03210	9.53	39.4060	0.155380
339-U1385D	339-U1385D-1H-1,1390	1.3900	9.50160	8.09030	8.09030	9.58	38.0340	0.155640
339-U1385D	339-U1385D-1H-1,1400	1.4000	9.68050	8.14850	8.14850	9.63	38.7630	0.152050
339-U1385D	339-U1385D-1H-1,1410	1.4100	9.85950	8.20670	8.20670	9.68	37.9800	0.156180
