/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for the planktonic foraminifera Globigerina bulloides of sediment core MD01-2444 and IODPP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951397, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 26.880 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: vs. VPDB
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	26013 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	G. bulloides δ18O [‰ PDB] (vs. VPDB, Mass spectrometer, ...)	G. bulloides δ13C [‰ PDB] (vs. VPDB, Mass spectrometer, ...)
1.860	1.40	9.59	8.11940	8.11940	9.60250	9.29160	9.90680	10.01300	0.52	-0.56
1.890	1.41	9.81	8.19050	8.19050	9.66520	9.44140	10.06700	10.17500	0.58	-0.71
1.920	1.42	10.03	8.26090	8.26090	9.72730	9.59130	10.22600	10.33600	0.54	-0.66
1.950	1.43	10.24	8.33190	8.33190	9.79000	9.74120	10.38600	10.49800	0.62	-0.68
1.980	1.44	10.46	8.40230	8.40230	9.85220	9.89100	10.54600	10.65900	0.61	-0.82
2.010	1.46	10.68	8.47330	8.47330	9.91480	10.04100	10.70600	10.82100	0.66	-0.83
2.040	1.47	10.90	8.54370	8.54370	9.97700	10.19100	10.86500	10.98200	0.74	-1.00
2.070	1.48	11.11	8.61480	8.61480	10.04000	10.34100	11.02500	11.14400	0.60	-0.80
2.100	1.49	11.33	8.68520	8.68520	10.10200	10.49000	11.18500	11.30500	0.63	-0.94
2.130	1.50	11.49	8.75620	8.75620	10.16400	10.64000	11.34500	11.46700	0.35	-0.77
2.160	1.52	11.55	8.82720	8.82720	10.22700	10.79000	11.50500	11.52900	0.65	-0.70
2.160	1.52	11.55	8.82720	8.82720	10.22700	10.79000	11.50500	11.52900	0.51	-0.75
2.190	1.53	11.61	8.89760	8.89760	10.28900	10.94000	11.66400	11.59100	0.63	-0.65
2.220	1.54	11.68	8.96860	8.96860	10.35200	11.10500	11.82400	11.65300	1.07	-0.70
2.220	1.54	11.68	8.96860	8.96860	10.35200	11.10500	11.82400	11.65300	1.15	-0.53
2.250	1.55	11.80	9.03910	9.03910	10.41400	11.30000	11.98400	11.71500	1.56	-0.49
2.250	1.55	11.80	9.03910	9.03910	10.41400	11.30000	11.98400	11.71500	1.32	-0.66
2.280	1.57	12.14	9.11010	9.11010	10.47700	11.49600	12.22500	12.13300	1.29	-0.73
2.310	1.58	12.47	9.18050	9.18050	10.53900	11.69100	12.46600	12.55100	1.43	-0.76
2.340	1.59	12.69	9.25150	9.25150	10.60200	11.88600	12.70600	12.77500	1.08	-0.86
2.370	1.60	12.86	9.32190	9.32190	10.66400	12.08200	12.94700	12.99900	1.14	-0.87
2.400	1.61	13.04	9.39290	9.39290	10.72600	12.27700	13.18800	13.22200	1.15	-0.90
2.430	1.63	13.21	9.46340	9.46340	10.78900	12.47200	13.42900	13.44600	1.10	-1.00
2.460	1.64	13.46	9.56290	9.56290	10.87600	12.66700	13.67000	13.67000	1.13	-1.00
2.490	1.66	13.74	9.67640	9.67640	10.97700	12.86300	13.91100	13.89400	1.22	-0.95
2.520	1.68	14.02	9.78990	9.78990	11.07700	13.05800	14.15100	14.11700	1.35	-1.00
2.550	1.70	14.30	9.90340	9.90340	11.17700	13.25300	14.39200	14.34100	1.43	-1.21
2.580	1.72	14.57	10.01700	10.01700	11.27700	13.44800	14.63300	14.56500	1.63	-0.84
2.610	1.74	14.64	10.13000	10.13000	11.37700	13.64400	14.77500	14.69800	2.02	-0.73
2.640	1.76	14.71	10.24400	10.24400	11.47700	13.83900	14.91800	14.83100	2.15	-0.77
2.670	1.80	14.84	10.45500	10.45500	11.66300	14.03400	15.06000	14.96400	2.19	-0.75
2.700	1.83	14.96	10.66500	10.66500	11.84900	14.23000	15.20300	15.09700	2.31	-0.53
2.760	1.90	15.21	11.08600	11.08600	12.22000	14.56200	15.48800	15.36300	2.38	-0.68
2.790	1.94	15.34	11.29600	11.29600	12.40600	14.67000	15.63000	15.49600	2.41	-0.66
2.820	1.98	15.46	11.50600	11.50600	12.59200	14.77800	15.77300	15.62900	2.35	-0.59
2.850	2.01	15.59	11.71700	11.71700	12.77700	14.88600	15.91500	15.76200	2.38	-0.64
2.880	2.05	15.72	11.92700	11.92700	12.96300	14.99400	16.05700	15.89500	2.38	-0.74
2.910	2.09	15.84	12.14800	12.18700	13.14900	15.10200	16.20000	16.02800	2.28	-0.60
2.940	2.12	15.97	12.37200	12.46800	13.33400	15.21100	16.34200	16.16100	2.25	-0.77
2.970	2.16	16.10	12.59700	12.74900	13.52000	15.31900	16.48500	16.29400	2.22	-0.53
3.030	2.23	16.35	13.04500	13.31000	13.89200	15.53500	16.77000	16.56100	2.20	-0.78
3.090	2.32	16.65	13.58400	13.98500	14.33700	15.75100	17.05500	16.82700	2.49	-0.68
3.150	2.40	16.95	14.12300	14.65900	14.78300	15.96700	17.33900	17.09300	2.50	-0.59
3.210	2.49	17.25	14.66200	15.33300	15.22900	16.18300	17.56700	17.35900	2.65	-0.63
3.270	2.58	17.56	15.20100	16.00700	15.67500	16.39900	17.74600	17.62500	2.74	-0.64
3.330	2.66	17.86	15.74000	16.68100	16.12100	16.61600	17.92500	17.89100	2.79	-0.56
3.390	2.75	18.16	16.27900	17.35600	16.56700	16.83200	18.10300	18.15700	2.90	-0.51
3.420	2.79	18.32	16.54900	17.69300	16.79000	16.94000	18.19300	18.23100	2.85	-0.49
3.510	2.92	18.76	17.30500	18.64000	17.41600	17.19500	18.46100	18.45300	2.74	-0.70
3.570	2.95	18.89	17.53400	18.92700	17.60600	17.30700	18.63900	18.60100	2.58	-0.73
3.630	2.99	19.03	17.76400	19.21400	17.79600	17.42000	18.81800	18.74900	2.57	-0.83
3.690	3.03	19.16	17.99400	19.50200	17.98600	17.53200	18.99700	18.89700	2.59	-0.90
3.750	3.06	19.29	18.22300	19.78900	18.17600	17.64400	19.17500	19.04500	2.38	-1.02
3.810	3.10	19.43	18.45300	20.07600	18.36600	17.75700	19.35400	19.19300	2.69	-0.83
3.870	3.14	19.56	18.68300	20.36400	18.55600	17.86900	19.53300	19.34100	2.39	-0.98
3.930	3.17	19.69	18.91200	20.65000	18.74600	17.98100	19.71100	19.48900	2.27	-1.23
3.990	3.21	19.83	19.14200	20.93800	18.93600	18.09400	19.89000	19.63700	2.22	-1.15
4.050	3.25	19.96	19.37100	21.12300	19.12600	18.20600	20.06900	19.78500	2.26	-0.95
4.110	3.29	20.09	19.60100	21.28100	19.31600	18.31800	20.24700	19.93300	2.41	-1.01
4.170	3.32	20.23	19.80300	21.43800	19.50600	18.43100	20.42600	20.08100	2.11	-1.21
4.230	3.36	20.36	19.95200	21.59500	19.69600	18.54300	20.60500	20.22900	2.17	-1.04
4.290	3.40	20.49	20.10200	21.75200	19.88600	18.65500	20.78300	20.37700	2.02	-1.15
4.350	3.43	20.63	20.25100	21.91000	20.07600	18.76700	20.96200	20.52500	1.95	-1.14
4.410	3.47	20.76	20.40100	22.06700	20.26600	18.88000	21.14100	20.67300	2.18	-1.05
4.470	3.51	20.89	20.55100	22.22500	20.45600	18.99200	21.31900	20.82100	2.29	-0.94
4.530	3.54	21.03	20.70000	22.38100	20.64500	19.10400	21.49800	20.96900	2.13	-1.24
4.590	3.58	21.16	20.85000	22.53900	20.83500	19.21700	21.67700	21.11700	1.95	-1.25
4.650	3.62	21.29	21.00000	22.69600	21.02500	19.32900	21.85500	21.26500	1.97	-1.30
4.710	3.66	21.43	21.14900	22.85400	21.21500	19.44100	22.03400	21.41300	1.94	-1.33
4.770	3.69	21.56	21.29900	23.01100	21.40600	19.55400	22.21300	21.56100	2.01	-1.18
4.830	3.73	21.69	21.44800	23.16800	21.59500	19.66600	22.39100	21.70900	2.02	-1.15
4.890	3.77	21.83	21.59800	23.32500	21.78500	19.77800	22.57000	21.85700	1.99	-1.32
4.950	3.80	21.96	21.74800	23.48300	21.97500	19.89100	22.74900	22.00500	2.07	-1.32
5.010	3.84	22.09	21.89800	23.64000	22.16500	20.00300	22.92700	22.15300	2.07	-1.14
5.070	3.88	22.23	22.04700	23.79700	22.35500	20.11500	23.10600	22.30100	2.19	-1.01
5.130	3.92	22.37	22.21200	23.97100	22.56500	20.22800	23.28500	22.44900	2.17	-1.00
5.190	3.96	22.53	22.38500	24.15300	22.78400	20.34000	23.46300	22.59700	2.29	-0.89
5.250	4.00	22.68	22.55800	24.33400	23.00300	20.45200	23.64200	22.74500	2.23	-0.90
5.310	4.05	22.84	22.73000	24.51500	23.22200	20.56500	23.82100	22.89300	2.17	-0.83
5.370	4.09	22.99	22.90300	24.69700	23.44200	20.67700	23.99900	23.04100	2.17	-1.02
5.430	4.13	23.14	23.07600	24.87900	23.66100	20.78900	24.17800	23.18900	2.19	-1.06
5.490	4.17	23.30	23.24900	25.06000	23.88000	20.90200	24.35700	23.33700	1.87	-1.34
5.550	4.22	23.45	23.42200	25.24200	24.10000	21.01400	24.53500	23.48500	1.98	-1.02
5.610	4.26	23.61	23.59400	25.42300	24.31900	21.12600	24.71400	23.63300	2.00	-1.05
5.670	4.30	23.76	23.76700	25.60500	24.53800	21.23900	24.89300	23.78100	1.90	-1.12
5.730	4.35	23.91	23.94000	25.78700	24.75600	21.35100	25.07100	23.92900	1.92	-1.19
5.790	4.39	24.10	24.11300	25.96800	24.95800	21.46300	25.25000	24.11700	2.16	-0.96
5.850	4.43	24.28	24.28600	26.15000	25.16000	21.57600	25.42900	24.30500	2.30	-0.85
5.910	4.47	24.47	24.45800	26.33200	25.36200	21.68800	25.60700	24.49300	2.58	-0.72
5.970	4.52	24.66	24.63100	26.51300	25.56400	21.80000	25.78600	24.68100	2.38	-0.69
6.000	4.54	24.75	24.71700	26.60400	25.66500	21.85700	25.87500	24.77500	2.02	-0.98
6.030	4.56	24.84	24.80400	26.69400	25.76500	21.91300	25.96500	24.86900	2.08	-1.21
6.060	4.58	24.94	24.89000	26.78500	25.86700	21.96900	26.05400	24.96300	2.14	-0.87
6.090	4.60	25.03	24.97600	26.87600	25.96700	22.02500	26.14300	25.05700	2.22	-0.80
6.120	4.62	25.12	25.06300	26.96700	26.06900	22.08100	26.23300	25.15100	2.16	-1.09
6.150	4.64	25.21	25.14900	27.05800	26.16900	22.13700	26.32200	25.24500	2.33	-0.80
