/* DATA DESCRIPTION:
Citation:	Hodell, David A; Crowhurst, Simon J; Lourens, Lucas Joost; Margari, Vasiliki; Nicolson, John; Rolfe, James E; Skinner, Luke C; Thomas, Nicola C; Tzedakis, Polychronis C; Mleneck-Vautravers, Maryline J; Wolff, Eric William (2023): Combined oxgyen and carbon isotope data for all benthic foraminifera in piston core MD01-2444 and IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.951395, 
	In: Hodell, DA et al. (2023): Benthic and planktonic oxygen and carbon isotopes and XRF data at IODP Site U1385 and core MD01-2444 from 0 to 1.5 Ma. PANGAEA, https://doi.org/10.1594/PANGAEA.951401
Keyword(s):	Benthic and planktonic foraminifera; IODP 339; MD01-2444; oxygen and carbon isotopes; XRF data
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Funding:	Leverhulme Trust, grant/award no. RPG2014-417
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J00653X/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/J017922/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/K005804/1
	Natural Environment Research Council (NERC) (URI: http://www.nerc.ac.uk/), grant/award no. NE/R000204/1
Coverage:	MEDIAN LATITUDE: 37.568208 * MEDIAN LONGITUDE: -10.130014 * SOUTH-BOUND LATITUDE: 37.565000 * WEST-BOUND LONGITUDE: -10.134000 * NORTH-BOUND LATITUDE: 37.571416 * EAST-BOUND LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.030 m * MAXIMUM DEPTH, sediment/rock: 26.910 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
	MD01-2444 * LATITUDE: 37.565000 * LONGITUDE: -10.134000 * ELEVATION: -2656.0 m * CAMPAIGN: MD123 (GEOSCIENCES, MARMARCORE) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: MD01-2444
	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: Equivalent 339-U1385 crmcd
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * COMMENT: Hybrid Age
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Lisiecki & Raymo (2005) [LR04] (URI: https://doi.org/10.1029/2004PA001071)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Ahn et al. (2017) [revised LR04 Prob Stack] (URI: https://doi.org/10.1093/climsys/dzx002)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Konijnenkijk et al. (2015) [revised Med Sapropel] (URI: https://doi.org/10.1016/j.quascirev.2015.10.005)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Barker et al. (2011) [GrSyn] (URI: https://doi.org/10.1126/science.1203580)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	AGE [ka BP] (Age) * GEOCODE * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Age model according to Buizert et al. (2015) [West Antarctic Ice Sheet (WAIS) model] (URI: https://doi.org/10.1038/nature14401)
	δ18O [‰] (δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, VG Sira and Thermo Finnigan, MAT 253 * COMMENT: mixed species corrected to Uvig.
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	17690 data points
*/
Depth sed [m] (MD01-2444)	Depth corr cr [crmcd] (Equivalent 339-U1385 crmcd, I...)	Age [ka BP] (Hybrid Age)	Age [ka BP] (Age model according to Lisiec...)	Age [ka BP] (Age model according to Ahn et...)	Age [ka BP] (Age model according to Konijn...)	Age [ka BP] (Age model according to Barker...)	Age [ka BP] (Antarctic ice core chronology...)	Age [ka BP] (Age model according to Buizer...)	δ18O [‰] (mixed species corrected to Uv...)
1.830	1.31	8.11	7.63690	7.63690	9.12590	9.14170	9.74700	9.85190	3.1889
1.860	1.33	8.49	7.76210	7.76210	9.27550	9.29160	9.90680	10.01300	3.2207
1.890	1.36	8.88	7.88720	7.88720	9.39760	9.44140	10.06700	10.17500	3.2534
1.920	1.38	9.26	8.01230	8.01230	9.50800	9.59130	10.22600	10.33600	3.3099
1.950	1.40	9.65	8.13750	8.13750	9.61840	9.74120	10.38600	10.49800	3.3362
1.980	1.42	10.03	8.26260	8.26260	9.72890	9.89100	10.54600	10.65900	3.2135
2.010	1.44	10.42	8.38780	8.38780	9.83930	10.04100	10.70600	10.82100	3.2500
2.040	1.46	10.80	8.51290	8.51290	9.94980	10.19100	10.86500	10.98200	3.4301
2.070	1.48	11.19	8.63860	8.63860	10.06100	10.34100	11.02500	11.14400	3.1979
2.100	1.51	11.50	8.76380	8.76380	10.17100	10.49000	11.18500	11.30500	3.4100
2.130	1.55	11.71	9.00590	9.00590	10.38500	10.64000	11.34500	11.46700	3.3447
2.160	1.63	13.26	9.48320	9.48320	10.80600	10.79000	11.50500	11.52900	3.2149
2.190	1.71	14.44	9.96040	9.96040	11.22700	10.94000	11.66400	11.59100	3.2614
2.220	1.79	14.82	10.43800	10.43800	11.64800	11.10500	11.82400	11.65300	3.3816
2.250	1.88	15.11	10.91500	10.91500	12.07000	11.30000	11.98400	11.71500	3.6169
2.280	1.96	15.40	11.39100	11.39100	12.49000	11.49600	12.22500	12.13300	3.7468
2.310	2.04	15.68	11.86500	11.86500	12.90800	11.69100	12.46600	12.55100	3.1474
2.340	2.12	15.96	12.36200	12.45600	13.32700	11.88600	12.70600	12.77500	3.7837
2.370	2.20	16.25	12.86800	13.08800	13.74500	12.08200	12.94700	12.99900	3.9697
2.400	2.28	16.53	13.37400	13.72100	14.16300	12.27700	13.18800	13.22200	3.4903
2.430	2.32	16.66	13.61100	14.01800	14.36000	12.47200	13.42900	13.44600	3.5010
2.460	2.34	16.72	13.71500	14.14800	14.44500	12.66700	13.67000	13.67000	3.8991
2.490	2.35	16.78	13.81800	14.27700	14.53100	12.86300	13.91100	13.89400	3.6325
2.520	2.37	16.84	13.92100	14.40600	14.61600	13.05800	14.15100	14.11700	3.8419
2.550	2.39	16.90	14.02500	14.53600	14.70200	13.25300	14.39200	14.34100	4.1453
2.580	2.40	16.95	14.12800	14.66500	14.78700	13.44800	14.63300	14.56500	4.0206
2.610	2.42	17.01	14.23200	14.79500	14.87300	13.64400	14.77500	14.69800	3.9936
2.640	2.44	17.07	14.33500	14.92400	14.95900	13.83900	14.91800	14.83100	3.9618
2.670	2.45	17.13	14.43800	15.05300	15.04400	14.03400	15.06000	14.96400	4.0547
2.700	2.47	17.19	14.54200	15.18300	15.13000	14.23000	15.20300	15.09700	4.1144
2.730	2.49	17.25	14.64600	15.31300	15.21600	14.42500	15.34500	15.23000	4.0505
2.760	2.50	17.30	14.74900	15.44200	15.30100	14.56200	15.48800	15.36300	4.0589
2.790	2.52	17.36	14.85300	15.57100	15.38700	14.67000	15.63000	15.49600	3.7606
2.820	2.54	17.42	14.95600	15.70100	15.47300	14.77800	15.77300	15.62900	4.1036
2.850	2.55	17.48	15.05900	15.83000	15.55800	14.88600	15.91500	15.76200	4.3355
2.880	2.57	17.54	15.16300	15.96000	15.64400	14.99400	16.05700	15.89500	4.3399
2.910	2.59	17.59	15.26700	16.09000	15.73000	15.10200	16.20000	16.02800	4.4422
2.940	2.60	17.65	15.37000	16.21800	15.81500	15.21100	16.34200	16.16100	4.4007
2.970	2.62	17.71	15.47300	16.34800	15.90100	15.31900	16.48500	16.29400	4.3403
3.030	2.65	17.83	15.68000	16.60700	16.07200	15.53500	16.77000	16.56100	4.5786
3.090	2.69	17.94	15.88700	16.86600	16.24300	15.75100	17.05500	16.82700	4.6648
3.150	2.72	18.06	16.09400	17.12500	16.41400	15.96700	17.33900	17.09300	4.6544
3.210	2.75	18.18	16.30100	17.38400	16.58500	16.18300	17.56700	17.35900	4.7805
3.270	2.79	18.30	16.50800	17.64300	16.75700	16.39900	17.74600	17.62500	4.7173
3.330	2.82	18.42	16.71500	17.90200	16.92800	16.61600	17.92500	17.89100	4.7536
3.390	2.85	18.54	16.92200	18.16000	17.09900	16.83200	18.10300	18.15700	4.8797
3.420	2.87	18.59	17.01800	18.28100	17.17900	16.94000	18.19300	18.23100	5.0457
3.510	2.92	18.76	17.30500	18.64000	17.41600	17.19500	18.46100	18.45300	5.0621
3.570	2.95	18.89	17.53400	18.92700	17.60600	17.30700	18.63900	18.60100	5.0586
3.630	2.99	19.03	17.76400	19.21400	17.79600	17.42000	18.81800	18.74900	4.9755
3.690	3.03	19.16	17.99400	19.50200	17.98600	17.53200	18.99700	18.89700	5.0816
3.750	3.06	19.29	18.22300	19.78900	18.17600	17.64400	19.17500	19.04500	5.0114
3.810	3.10	19.43	18.45300	20.07600	18.36600	17.75700	19.35400	19.19300	4.9681
3.870	3.14	19.56	18.68300	20.36400	18.55600	17.86900	19.53300	19.34100	5.2038
3.930	3.17	19.69	18.91200	20.65000	18.74600	17.98100	19.71100	19.48900	5.0615
3.990	3.21	19.83	19.14200	20.93800	18.93600	18.09400	19.89000	19.63700	5.0404
4.050	3.25	19.96	19.37100	21.12300	19.12600	18.20600	20.06900	19.78500	5.1665
4.110	3.29	20.09	19.60100	21.28100	19.31600	18.31800	20.24700	19.93300	5.0435
4.170	3.32	20.23	19.80300	21.43800	19.50600	18.43100	20.42600	20.08100	5.0926
4.230	3.36	20.36	19.95200	21.59500	19.69600	18.54300	20.60500	20.22900	5.1613
4.290	3.40	20.49	20.10200	21.75200	19.88600	18.65500	20.78300	20.37700	5.0854
4.350	3.43	20.63	20.25100	21.91000	20.07600	18.76700	20.96200	20.52500	5.1390
4.410	3.47	20.76	20.40100	22.06700	20.26600	18.88000	21.14100	20.67300	5.0631
4.470	3.51	20.89	20.55100	22.22500	20.45600	18.99200	21.31900	20.82100	5.0469
4.530	3.54	21.03	20.70000	22.38100	20.64500	19.10400	21.49800	20.96900	5.1205
4.590	3.58	21.16	20.85000	22.53900	20.83500	19.21700	21.67700	21.11700	4.8751
4.650	3.62	21.29	21.00000	22.69600	21.02500	19.32900	21.85500	21.26500	5.1280
4.710	3.66	21.43	21.14900	22.85400	21.21500	19.44100	22.03400	21.41300	5.0235
4.770	3.69	21.56	21.29900	23.01100	21.40600	19.55400	22.21300	21.56100	5.1370
4.830	3.73	21.69	21.44800	23.16800	21.59500	19.66600	22.39100	21.70900	5.1396
4.890	3.77	21.83	21.59800	23.32500	21.78500	19.77800	22.57000	21.85700	5.0027
4.950	3.80	21.96	21.74800	23.48300	21.97500	19.89100	22.74900	22.00500	5.0731
5.010	3.84	22.09	21.89800	23.64000	22.16500	20.00300	22.92700	22.15300	4.9841
5.070	3.88	22.23	22.04700	23.79700	22.35500	20.11500	23.10600	22.30100	4.9433
5.130	3.92	22.37	22.21200	23.97100	22.56500	20.22800	23.28500	22.44900	5.0330
5.190	3.96	22.53	22.38500	24.15300	22.78400	20.34000	23.46300	22.59700	4.8674
5.250	4.00	22.68	22.55800	24.33400	23.00300	20.45200	23.64200	22.74500	4.8213
5.370	4.09	22.99	22.90300	24.69700	23.44200	20.67700	23.99900	23.04100	4.9914
5.430	4.13	23.14	23.07600	24.87900	23.66100	20.78900	24.17800	23.18900	4.8925
5.490	4.17	23.30	23.24900	25.06000	23.88000	20.90200	24.35700	23.33700	4.9466
5.550	4.22	23.45	23.42200	25.24200	24.10000	21.01400	24.53500	23.48500	4.8701
5.610	4.26	23.61	23.59400	25.42300	24.31900	21.12600	24.71400	23.63300	4.8729
5.670	4.30	23.76	23.76700	25.60500	24.53800	21.23900	24.89300	23.78100	4.8873
5.730	4.35	23.91	23.94000	25.78700	24.75600	21.35100	25.07100	23.92900	4.5734
5.790	4.39	24.10	24.11300	25.96800	24.95800	21.46300	25.25000	24.11700	4.7863
5.850	4.43	24.28	24.28600	26.15000	25.16000	21.57600	25.42900	24.30500	4.7343
5.910	4.47	24.47	24.45800	26.33200	25.36200	21.68800	25.60700	24.49300	4.9124
5.970	4.52	24.66	24.63100	26.51300	25.56400	21.80000	25.78600	24.68100	4.8234
6.000	4.54	24.75	24.71700	26.60400	25.66500	21.85700	25.87500	24.77500	4.8313
6.030	4.56	24.84	24.80400	26.69400	25.76500	21.91300	25.96500	24.86900	4.8370
6.060	4.58	24.94	24.89000	26.78500	25.86700	21.96900	26.05400	24.96300	4.7688
6.090	4.60	25.03	24.97600	26.87600	25.96700	22.02500	26.14300	25.05700	4.7645
6.120	4.62	25.12	25.06300	26.96700	26.06900	22.08100	26.23300	25.15100	4.8400
6.150	4.64	25.21	25.14900	27.05800	26.16900	22.13700	26.32200	25.24500	4.9753
6.180	4.67	25.31	25.23600	27.14900	26.27100	22.19400	26.41100	25.33900	4.7419
6.210	4.69	25.40	25.32200	27.23900	26.37100	22.25000	26.50100	25.43300	4.8532
6.240	4.71	25.50	25.40900	27.33000	26.47300	22.30600	26.59000	25.52700	4.8281
6.270	4.73	25.59	25.49500	27.42100	26.57300	22.36200	26.67900	25.62100	4.9251
6.330	4.77	25.77	25.66800	27.60200	26.77600	22.47400	26.85800	25.80900	4.8129
6.360	4.79	25.87	25.75400	27.69300	26.87700	22.53100	26.94700	25.90300	4.8104
6.390	4.82	25.96	25.84000	27.78400	26.97800	22.58700	27.03700	25.99700	4.9274
6.420	4.84	26.05	25.92700	27.87500	27.07800	22.64300	27.12600	26.09100	4.8351
6.450	4.86	26.15	26.01300	27.96600	27.18000	22.69900	27.21500	26.18500	4.8978
6.480	4.88	26.24	26.09900	28.05600	27.28000	22.75500	27.30500	26.27900	4.7126
6.510	4.90	26.33	26.18600	28.14700	27.38200	22.81100	27.39400	26.37300	4.8938
6.570	4.94	26.52	26.35900	28.32900	27.58400	22.92400	27.57300	26.56100	4.8842
6.600	4.96	26.61	26.44500	28.41900	27.68500	22.98000	27.66200	26.65500	4.7776
6.630	4.99	26.71	26.53200	28.51000	27.78600	23.03600	27.75100	26.74900	4.7076
6.660	5.01	26.80	26.61900	28.60200	27.88800	23.09200	27.84100	26.84300	4.8315
6.690	5.03	26.90	26.70800	28.69600	27.99300	23.14800	27.93000	26.93700	4.7721
6.720	5.05	27.00	26.79800	28.79100	28.09800	23.20500	28.01900	27.03100	4.8009
6.750	5.07	27.09	26.88800	28.88500	28.20300	23.26100	28.10900	27.12500	5.0248
6.780	5.10	27.19	26.97800	28.97900	28.30700	23.31700	28.19800	27.21900	4.7658
6.810	5.12	27.29	27.06700	29.07400	28.41200	23.37300	28.28700	27.31300	4.8656
6.840	5.14	27.38	27.15700	29.16800	28.51700	23.42900	28.37700	27.40700	4.7860
6.870	5.16	27.48	27.24700	29.26200	28.62200	23.48500	28.46600	27.50100	4.7263
6.900	5.18	27.58	27.33600	29.35600	28.72700	23.54200	28.55500	27.59500	4.8560
6.930	5.21	27.67	27.42600	29.45000	28.83100	23.59800	28.64500	27.68900	4.7564
6.960	5.23	27.77	27.51600	29.54500	28.93700	23.65400	28.73400	27.78300	4.7867
