Time	CO2
262092.0	208.9
262930.0	214.6
264509.0	228.1
265653.0	199.9
266326.0	211.7
267442.0	188.7
268181.0	187.2
269154.0	194.2
270222.0	198.8
271256.0	184.7
272311.0	190.4
273310.0	193.9
274321.0	194.1
275350.0	198.4
276326.0	193.2
277361.0	202.2
278350.0	204.5
279320.0	211
280269.0	215.3
281758.0	223.7
283785.0	231.3
285380.0	228
286128.0	226.4
287036.0	231.4
287538.0	230.4
288233.0	231
290153.0	234.9
290730.0	220.4
291367.0	217.1
292405.0	207.6
293057.0	206
293779.0	206.7
294568.0	212.7
295930.0	213.1
297921.0	217.1
298741.0	224.4
299621.0	231
300472.0	236.1
301402.0	239
302280.0	236
303226.0	240.2
304232.0	240.7
304901.0	250.2
305655.0	248.6
306547.0	244.8
307495.0	225.8
308744.0	227.8
309389.0	226.2
310168.0	233.2
311013.0	237.8
311868.0	239
312676.0	241.9
313414.0	251.6
314144.0	256.7
314867.0	257.1
315572.0	246.8
316200.0	272.6
316897.0	251.6
317734.0	245.2
318559.0	233.4
319480.0	255.8
320358.0	249.2
322015.0	257.2
322767.0	260.4
323526.0	260.3
324280.0	260.5
324971.0	266.2
325720.0	264
326321.0	266.1
326972.0	270.1
327590.0	271.9
328221.0	275.1
329475.0	265
330208.0	271.7
330740.0	272.6
331438.0	273.1
331944.0	282.4
332285.0	289.1
332462.0	288.4
332919.0	298.6
333380.0	278.1
333890.0	285.8
334261.0	278.6
334748.0	270.5
335287.0	255.7
335918.0	241.9
336725.0	239.6
337391.0	234.2
339298.0	250.1
340456.0	200.7
341802.0	205.2
343282.0	204.8
344446.0	211.9
345980.0	220.3
348298.0	221.1
349688.0	216.2
350925.0	209.4
352275.0	209.2
355302.0	193
356898.0	186.1
358712.0	185.8
360957.0	201.2
363385.0	206.3
366235.0	201.9
367856.0	199.9
369446.0	214.7
371090.0	224.6
372646.0	229.6
376568.0	227
378096.0	240
379696.0	239.1
381132.0	246.8
382670.0	245.8
384534.0	258.1
385398.0	264.6
386144.0	259.2
388062.0	255.2
389946.0	250.1
391896.0	266.3
392544.0	259.5
393579.0	273.6
394560.0	260.7
398086.0	276.3
399722.0	277.1
400504.0	283.2
402000.0	283.1
402731.0	275.7
404181.0	276.5
404927.0	280.5
406368.0	279.6
407093.0	285.6
408600.0	284.5
409383.0	275.2
409383.0	274.2
410206.0	282.6
411071.0	283.5
412962.0	274.9
413948.0	264.9
414963.0	271.6
415717.0	276.4
416193.0	271.7
417191.0	273.4
417698.0	271.8
418245.0	274.6
419260.0	273.7
419808.0	271.2
420350.0	273.8
421484.0	268.6
422074.0	266.4
422649.0	270.6
423764.0	267.7
424332.0	268.3
424840.0	270.8
425242.0	270
425569.0	265.4
425975.0	255.3
426598.0	252.1
427285.0	248.2
427566.0	242.5
429006.0	219.7
429876.0	227.2
431063.0	211.5
431445.0	207.6
432599.0	209.8
433674.0	207.5
434804.0	200.3
435989.0	201.7
437152.0	201.3
438356.0	202
439565.0	199.1
441220.0	201.1
442411.0	203.5
443562.0	208.1
444650.0	201.7
445829.0	201.2
446984.0	204.9
448103.0	201.9
449244.0	198.4
450455.0	193.3
451593.0	192.5
452283.0	199.1
452795.0	204.3
453514.0	203.3
454023.0	208.3
455279.0	202.4
456591.0	195.5
458049.0	190.7
459430.0	194.4
460792.0	199.9
461687.0	205.2
462133.0	210
463456.0	208.1
464866.0	204.4
466265.0	203.4
467602.0	205.5
468323.0	206.5
468810.0	215.5
469470.0	218.7
469941.0	229.2
470597.0	232.7
471046.0	243.7
471763.0	243.9
472095.0	245.6
473102.0	241.2
474162.0	233.1
475218.0	232.8
476240.0	236.6
477162.0	239.1
477719.0	236.5
478124.0	231.3
478721.0	220.8
479144.0	218.8
480108.0	223.8
481035.0	223.4
481932.0	227.3
482803.0	231.4
483649.0	231.4
484465.0	231.2
485276.0	233
486043.0	232.9
486816.0	231.3
487541.0	237.1
488268.0	242
488689.0	240.9
488996.0	252.8
489475.0	249.3
489722.0	242.6
490445.0	243.3
491191.0	246.7
491959.0	243.7
492738.0	239.7
493507.0	239.1
494311.0	238.3
495085.0	238.5
495853.0	237.6
496608.0	236.4
497366.0	236.5
498104.0	232.8
498865.0	230.6
499610.0	230.8
500363.0	228.2
501130.0	230.8
501866.0	231.2
502625.0	232
503375.0	232.2
504083.0	234.1
504777.0	233.9
505516.0	235.5
506287.0	236
507011.0	238.2
507714.0	237
508476.0	240.3
509247.0	233.4
510008.0	236.4
510765.0	235.2
511515.0	242
512269.0	238.2
512997.0	239.2
513724.0	241.5
514429.0	243
515113.0	247.2
515771.0	246.2
516417.0	245.5
517069.0	245.3
517706.0	247.7
518334.0	245.5
518965.0	243.5
520892.0	241.9
521552.0	236.8
522216.0	235.8
522923.0	233.7
523666.0	230.3
524409.0	227.8
525164.0	224.7
525908.0	222.7
526661.0	221.2
527454.0	220.3
528262.0	220.7
528747.0	214.5
529101.0	211.4
529640.0	204.4
530016.0	200
530685.0	195.1
531035.0	193.8
531662.0	190.5
532119.0	199.8
533246.0	199.4
534364.0	205
535483.0	206.4
536622.0	212.9
537770.0	211.2
538959.0	205
540154.0	203.6
541345.0	208.1
542502.0	210.3
543676.0	209.6
544804.0	209.7
545956.0	204.6
547013.0	202.5
547573.0	208.8
547972.0	213.6
548933.0	215.2
549830.0	219.9
550637.0	221.7
551124.0	222.3
551452.0	226.3
551979.0	222.1
552250.0	220.3
552961.0	223.6
553626.0	224.3
554254.0	226.7
554831.0	233.9
555345.0	241
555637.0	243
555839.0	249.1
556143.0	244
556364.0	250.5
556724.0	245.6
556889.0	240.4
557385.0	238.1
557887.0	234.5
558183.0	229.7
558393.0	230.2
558929.0	230.3
559461.0	228.3
559972.0	231.6
560459.0	231.9
560930.0	234.6
561309.0	234.1
561846.0	240.1
562272.0	242.3
562690.0	245.7
563115.0	245.8
563517.0	247.6
563918.0	251.4
564311.0	252.4
564699.0	252.6
565077.0	251.4
565466.0	253.7
565851.0	254.3
566233.0	253.9
566619.0	254.5
567007.0	253.2
567381.0	253.9
567777.0	252.8
568167.0	253
568556.0	250.2
568946.0	251.3
569331.0	250
569728.0	251.3
570139.0	251.8
570548.0	251.8
570955.0	249.6
571367.0	251.6
571775.0	250.3
572190.0	246.3
572619.0	247.7
573037.0	249.2
573462.0	248.7
573902.0	251.8
574353.0	251.9
574803.0	252.1
575265.0	248.9
575730.0	252.5
576222.0	252.9
576723.0	251.3
577242.0	251.3
577769.0	251.1
578305.0	249.1
578857.0	252.9
579435.0	251.5
579821.0	244.1
580019.0	243.8
580400.0	236.2
580695.0	230.3
581160.0	225.2
581507.0	219.4
582000.0	215.4
582391.0	209.9
583034.0	206.7
583413.0	210.6
586406.0	224
586893.0	226
587647.0	234.4
588034.0	238.8
588716.0	246.3
589224.0	250.2
589868.0	248.1
590335.0	243.6
590893.0	237.4
592279.0	225.7
592697.0	229.4
593415.0	233.2
593870.0	238.1
594639.0	238
595189.0	232.9
595950.0	221.2
596515.0	216.4
597443.0	216.3
597966.0	219
598833.0	226
599434.0	229.4
600882.0	232.5
602278.0	237.9
603673.0	239.1
605076.0	244.5
606374.0	248.5
607708.0	254.6
608929.0	259.2
610136.0	257.7
611319.0	259.6
612514.0	258
613709.0	256
614923.0	252.5
616227.0	252.4
617544.0	252.3
618955.0	247.9
620338.0	245.4
621760.0	243
623214.0	238.6
624690.0	237.3
625570.0	234.3
626215.0	227.8
627211.0	214.9
627999.0	205
629446.0	198.7
630295.0	199.9
632001.0	199.5
632856.0	195.6
634592.0	192.1
635489.0	193.9
636957.0	193
638127.0	194.3
639848.0	187.7
640760.0	189.1
642405.0	190.2
643204.0	190.4
644662.0	194.1
645470.0	194.6
646723.0	188.6
647588.0	190.5
648946.0	192.1
649598.0	194.8
650891.0	187.8
651556.0	192
652802.0	185.8
653448.0	185.3
654473.0	191.3
655202.0	193.2
656286.0	198.4
656882.0	198.7
657923.0	191.3
658474.0	189.2
659524.0	182.4
660084.0	183.9
660981.0	186.6
661650.0	189.8
662669.0	187.8
663206.0	189
664192.0	189.1
664690.0	185.8
665645.0	178.2
666174.0	178.5
666995.0	172.7
667569.0	171.6
668447.0	175.6
668934.0	178.5
669751.0	185.5
670176.0	189.3
670916.0	192.6
671286.0	194.6
671926.0	192.5
672386.0	194.8
673095.0	198.7
673475.0	202.3
674173.0	209.2
674521.0	213.7
675589.0	220
676170.0	217.4
676524.0	214
677068.0	215.6
677380.0	217.4
677984.0	226.5
678291.0	230
678914.0	230.8
679252.0	230.3
679732.0	223
680081.0	225
680608.0	218.4
680920.0	216.2
681531.0	217.3
681849.0	219.7
682446.0	222.6
682762.0	221.3
683262.0	218.7
683612.0	217.5
684142.0	217.5
684419.0	219.4
684949.0	219.5
685217.0	219.7
685716.0	223.5
685980.0	224.4
686425.0	224.3
686726.0	227.3
687227.0	228.7
687470.0	228.8
687949.0	232.3
688195.0	233
688652.0	235.8
688881.0	234.9
689304.0	235.8
689603.0	239.9
690057.0	235.6
690294.0	234.8
690771.0	240
690999.0	234
691432.0	235.6
691672.0	236.6
692057.0	235.5
692338.0	235.9
692765.0	232.9
692990.0	234.8
693433.0	234.1
693639.0	234.1
694068.0	235.4
694300.0	234.4
694672.0	235.8
694941.0	236.9
695383.0	236.7
695618.0	237.6
696062.0	234.6
696287.0	234.8
696717.0	235.4
696963.0	232.9
697331.0	232.4
697660.0	232.2
698120.0	231
698386.0	228
698880.0	226.4
699102.0	227.7
699633.0	227.6
699909.0	226
700389.0	228.7
700744.0	227.6
701242.0	228.2
701606.0	228.8
702158.0	229.3
702381.0	230.3
702988.0	232.4
703384.0	232.8
703934.0	231.2
704211.0	231.2
704973.0	233.9
705410.0	228.5
706141.0	228.6
706409.0	228.1
709680.0	219.7
710237.0	220.2
711104.0	218.9
711421.0	218.7
712833.0	218.5
713843.0	222.3
714288.0	221.7
715180.0	217.7
715750.0	222.1
716704.0	208.1
717065.0	205
718064.0	192.9
718779.0	184.3
719794.0	187.8
720337.0	195.2
721318.0	206.3
722039.0	211.3
723133.0	213.4
723464.0	213.2
724445.0	210.3
725059.0	206.3
725937.0	206.6
726322.0	208.1
727192.0	204.5
727732.0	205.5
728568.0	205.1
728921.0	205.4
730299.0	204
730949.0	204.1
731329.0	204.9
732141.0	203.8
732548.0	205.9
733261.0	203.9
733543.0	204.4
734223.0	205.3
734604.0	207.4
735167.0	201.7
735459.0	201.3
736079.0	204.1
736460.0	209.7
737034.0	208.1
737266.0	211.3
737889.0	210.6
738272.0	206.5
738844.0	200.3
739137.0	197.8
739842.0	185
740277.0	178.9
741021.0	178.6
741307.0	176.6
742075.0	177.9
742558.0	182.3
743233.0	181.7
743589.0	180.4
744354.0	181.2
744843.0	182
745836.0	180.2
746643.0	183.1
747110.0	180.8
747759.0	180.8
748101.0	180.4
748913.0	181.4
749401.0	182.9
750194.0	184.8
750476.0	184
751301.0	186.2
751830.0	190.1
752605.0	188
752978.0	196.5
753984.0	191.5
754394.0	195.8
755241.0	200.5
755495.0	201.9
756357.0	206
756871.0	210.7
757561.0	215
757962.0	219.2
758259.0	215.3
758475.0	217.6
758883.0	217.9
759306.0	214.9
760202.0	208.8
760500.0	206.9
761453.0	206.1
762064.0	212
762871.0	216
763319.0	215
763686.0	225.7
763934.0	221.4
764249.0	224.1
764833.0	222.6
765735.0	216.8
766110.0	215.7
767096.0	213.5
767737.0	217.7
768655.0	222.4
769050.0	221.4
769514.0	228.1
769787.0	226
770133.0	231.5
770447.0	235.6
770724.0	238.2
770994.0	235.6
771260.0	237.7
771708.0	229.5
772076.0	230.9
773043.0	230
773680.0	233.3
774548.0	236.9
775051.0	240.5
776037.0	238.8
776636.0	243.9
777556.0	246.3
777900.0	246.1
778798.0	245.8
779364.0	243.9
780268.0	248.5
780612.0	242.8
781535.0	248.7
782059.0	246.2
783263.0	252.1
784147.0	246.9
784692.0	250.7
785413.0	253.3
785789.0	255.4
786587.0	260.3
787076.0	256.9
787805.0	248.1
788033.0	247.9
788887.0	229.5
789381.0	226.3
790153.0	218.2
790538.0	221.3
791491.0	215.4
792081.0	205.1
792943.0	204
793260.0	209
794608.0	199.4
795202.0	195.2
796467.0	189.3
797099.0	188.4
798512.0	191

